id,query,cloud_environment,deployment_model,government_domain,data_classification,jurisdiction,policy_framework,governance_rule,ai_action,decision_explanation,risk_level,compliance_status,human_override_required,final_outcome,identity_context,security_control,audit_trace,timestamp,agency_type,region
FAGDD-448,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The case requires a traceable governance decision for later audit.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-448 recorded federated policy evaluation in Multi-Cloud; region=Regional Sovereign Zone; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-23T00:08:00,County Government,Regional Sovereign Zone
FAGDD-449,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The case requires a traceable governance decision for later audit.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,NIST AI RMF 2023,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-449 recorded federated policy evaluation in Multi-Cloud; region=Regional Sovereign Zone; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-23T04:19:00,County Government,Regional Sovereign Zone
FAGDD-450,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The request originated from a cross-cloud review queue.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Escalated,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Partially Compliant,Yes,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-450 recorded federated policy evaluation in Multi-Cloud; region=Regional Sovereign Zone; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-23T08:30:00,County Government,Regional Sovereign Zone
FAGDD-451,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The request originated from a cross-cloud review queue.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved with Conditions,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-451 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-23T12:41:00,County Government,Cross-Cloud Oversight Region
FAGDD-452,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The request originated from a cross-cloud review queue.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,EU AI Act 2024,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-452 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-23T16:52:00,County Government,Cross-Cloud Oversight Region
FAGDD-453,Should a mission-support AI service be restricted when model governance controls differ across clouds The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,NIST AI RMF 2023; NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-453 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-23T20:03:00,County Government,Cross-Cloud Oversight Region
FAGDD-454,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,NIST AI RMF 2023; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Restricted,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Requires Review,Yes,Escalated,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-454 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-24T00:14:00,County Government,Cross-Cloud Oversight Region
FAGDD-455,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-455 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-24T04:25:00,County Government,Cross-Cloud Oversight Region
FAGDD-456,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-456 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-24T08:36:00,County Government,Cross-Cloud Oversight Region
FAGDD-457,Should a mission-support AI service be restricted when model governance controls differ across clouds The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,NIST AI RMF 2023,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-457 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-24T12:47:00,County Government,Cross-Cloud Oversight Region
FAGDD-458,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Restricted,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Requires Review,Yes,Escalated,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-458 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-24T16:58:00,County Government,Cross-Cloud Oversight Region
FAGDD-459,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Medium,Partially Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-459 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-24T20:09:00,County Government,Cross-Cloud Oversight Region
FAGDD-460,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,EU AI Act 2024,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-460 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-25T00:20:00,County Government,Cross-Cloud Oversight Region
FAGDD-461,Should a mission-support AI service be restricted when model governance controls differ across clouds The request includes policy-sensitive data handling constraints.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,NIST AI RMF 2023; NIST SP 800-207,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-461 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-25T04:31:00,County Government,Cross-Cloud Oversight Region
FAGDD-462,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The request includes policy-sensitive data handling constraints.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,NIST AI RMF 2023; ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Escalated,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Partially Compliant,Yes,Approved with Conditions,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-462 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-25T08:42:00,County Government,Cross-Cloud Oversight Region
FAGDD-463,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The request includes policy-sensitive data handling constraints.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,EU AI Act 2024; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved with Conditions,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-463 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-25T12:53:00,County Government,Cross-Cloud Oversight Region
FAGDD-464,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The request includes policy-sensitive data handling constraints.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Low,Compliant,No,Approved,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-464 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-25T16:04:00,County Government,Cross-Cloud Oversight Region
FAGDD-465,Should a mission-support AI service be restricted when model governance controls differ across clouds The case requires a traceable governance decision for later audit.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Blocked,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Critical,Non-Compliant,Yes,Denied,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-465 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-25T20:15:00,County Government,Cross-Cloud Oversight Region
FAGDD-466,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The case requires a traceable governance decision for later audit.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Restricted,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",High,Requires Review,Yes,Escalated,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-466 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-26T00:26:00,County Government,Cross-Cloud Oversight Region
FAGDD-467,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The case requires a traceable governance decision for later audit.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Medium,Partially Compliant,No,Approved with Conditions,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-467 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-26T04:37:00,County Government,Cross-Cloud Oversight Region
FAGDD-468,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The case requires a traceable governance decision for later audit.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,EU AI Act 2024,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Low,Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-468 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-26T08:48:00,County Government,Cross-Cloud Oversight Region
FAGDD-469,Should a mission-support AI service be restricted when model governance controls differ across clouds The request originated from a cross-cloud review queue.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,NIST AI RMF 2023; NIST SP 800-207,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Blocked,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Critical,Non-Compliant,Yes,Denied,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-469 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-26T12:59:00,County Government,Cross-Cloud Oversight Region
FAGDD-470,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The request originated from a cross-cloud review queue.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; ISO/IEC 22989:2022,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Restricted,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",High,Requires Review,Yes,Escalated,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-470 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-26T16:10:00,County Government,Cross-Cloud Oversight Region
FAGDD-471,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The request originated from a cross-cloud review queue.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,EU AI Act 2024; ISO/IEC 22989:2022,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Medium,Partially Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-471 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-26T20:21:00,County Government,Cross-Cloud Oversight Region
FAGDD-472,Should a mission-support AI service be restricted when model governance controls differ across clouds The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Allowed,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Low,Compliant,No,Approved,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-472 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-27T00:32:00,County Government,Cross-Cloud Oversight Region
FAGDD-473,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,NIST AI RMF 2023,High-impact automated decisions require dual logging and human oversight before production release.,Blocked,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Critical,Non-Compliant,Yes,Denied,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-473 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-27T04:43:00,County Government,Cross-Cloud Oversight Region
FAGDD-474,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Escalated,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",High,Partially Compliant,Yes,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-474 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Escalated; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-27T08:54:00,County Government,Cross-Cloud Oversight Region
FAGDD-475,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The workflow requires a transparent explanation for supervisory approval.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Allowed,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Medium,Partially Compliant,No,Approved with Conditions,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-475 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-27T12:05:00,County Government,Cross-Cloud Oversight Region
FAGDD-476,Should a mission-support AI service be restricted when model governance controls differ across clouds The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,EU AI Act 2024,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Allowed,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Low,Compliant,No,Approved,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-476 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-27T16:16:00,County Government,Cross-Cloud Oversight Region
FAGDD-477,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,NIST AI RMF 2023; NIST SP 800-207,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Blocked,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",Critical,Non-Compliant,Yes,Denied,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-477 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-27T20:27:00,County Government,Cross-Cloud Oversight Region
FAGDD-478,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,NIST AI RMF 2023; ISO/IEC 22989:2022,High-impact automated decisions require dual logging and human oversight before production release.,Restricted,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",High,Requires Review,Yes,Escalated,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-478 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-28T00:38:00,County Government,Cross-Cloud Oversight Region
FAGDD-479,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The decision must preserve sovereign routing and identity context evidence.,Multi-Cloud,Multi-cloud governance mesh with shared audit services,defense,Restricted,City,EU AI Act 2024; ISO/IEC 22989:2022,Model invocation is restricted when zero-trust controls do not match jurisdictional access policy.,Allowed,"The response was generated after reviewing synthetic governance metadata, federated access conditions, and compliance thresholds associated with multi-cloud government AI operations.",Medium,Partially Compliant,No,Approved with Conditions,Cross-agency reviewer with just-in-time access and session logging,Continuous audit logging with immutable retention policy,"Audit event FAGDD-479 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-28T04:49:00,County Government,Cross-Cloud Oversight Region
FAGDD-480,Should a mission-support AI service be restricted when model governance controls differ across clouds The request includes policy-sensitive data handling constraints.,Multi-Cloud,Agency-managed on-prem orchestration with cloud failover,defense,Mission Critical,Cross-Border Public Sector Coalition,NIST AI RMF 2023; EU AI Act 2024; NIST SP 800-207,Federated policy execution must preserve explainability artifacts for each approval or denial event.,Logged,"The policy result reflects identity verification, classification handling, and federated audit obligations required by the selected governance framework.",Low,Compliant,No,Approved,Automated orchestration identity awaiting secondary policy attestation,Identity-aware proxy with workload attestation and token inspection,"Audit event FAGDD-480 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Logged; compliance=Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-28T08:00:00,County Government,Cross-Cloud Oversight Region
FAGDD-481,Can a defense logistics assistant access controlled deployment analytics under a partially compliant configuration The request includes policy-sensitive data handling constraints.,Multi-Cloud,Centralized model registry with federated policy enforcement,defense,Public,Federal,NIST AI RMF 2023,Cross-tenant inference is blocked unless identity provenance is verified and the audit chain is complete.,Blocked,"The decision was derived by comparing the request against identity posture, sovereignty requirements, governance controls, and the referenced policy framework before determining the permitted AI action.",Critical,Non-Compliant,Yes,Denied,Privileged analyst with conditional access and device trust attestation,Zero Trust network segmentation with policy decision point validation,"Audit event FAGDD-481 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Blocked; compliance=Non-Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-28T12:11:00,County Government,Cross-Cloud Oversight Region
FAGDD-482,Should a federated intelligence-support model be denied when audit trace completeness cannot be proven The request includes policy-sensitive data handling constraints.,Multi-Cloud,Regional sovereign enclave with cross-cloud model routing,defense,Internal,State,ISO/IEC 22989:2022,Sensitive data movement requires sovereign routing and conditional approval under policy review.,Restricted,"The governance engine selected this outcome because the request crossed one or more policy boundaries involving jurisdiction, access assurance, and auditability in a federated cloud environment.",High,Requires Review,Yes,Escalated,Agency operator using federated identity with region-bound claims,Confidential compute requirement with region-bound key management,"Audit event FAGDD-482 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Restricted; compliance=Requires Review; identity claims, governance rule check, and control evidence were archived.",2025-03-28T16:22:00,County Government,Cross-Cloud Oversight Region
FAGDD-483,Can a hybrid defense planning workflow be approved with conditions under zero-trust and sovereignty constraints The request includes policy-sensitive data handling constraints.,Multi-Cloud,Hybrid inference pipeline with local data residency controls,defense,Sensitive,County,NIST SP 800-207,High-impact automated decisions require dual logging and human oversight before production release.,Allowed,"The explanation reflects a standards-aware control decision in which the deployment model, classification level, and security control posture were evaluated before approval, denial, or escalation.",Medium,Partially Compliant,No,Approved,Service principal request with workload identity and scoped token exchange,Attribute-based access control with sovereign boundary enforcement,"Audit event FAGDD-483 recorded federated policy evaluation in Multi-Cloud; region=Cross-Cloud Oversight Region; action=Allowed; compliance=Partially Compliant; identity claims, governance rule check, and control evidence were archived.",2025-03-28T20:33:00,County Government,Cross-Cloud Oversight Region
